ingredient_code,ingredient_name_eng,dur_categories,elderly_caution_detail,ingredient_name_kor,category,common_dose
116002ATB,benztropine mesylate,노인주의|연령금기|임산부금기,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,,
117201ATB,bicalutamide,병용금기|연령금기|임산부금기,,,,
117202ATB,bicalutamide,병용금기|연령금기|임산부금기,,,,
511301ATB,blonanserin,노인주의|병용금기|임산부금기,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,,
511302ATB,blonanserin,노인주의|병용금기|임산부금기,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,,
511303ATB,blonanserin,노인주의|병용금기|임산부금기,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,,
131901ATB,chlorpromazine hydrochloride,노인주의|병용금기|연령금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 증가하므로 동시 사용을 추천하지 않음",,,
131905ATB,chlorpromazine hydrochloride,노인주의|병용금기|연령금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 증가하므로 동시 사용을 추천하지 않음",,,
131908ATB,chlorpromazine hydrochloride,노인주의|병용금기|연령금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 증가하므로 동시 사용을 추천하지 않음",,,
142901ATB,diazepam,노인주의|연령금기|임산부금기,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,,
142902ATB,diazepam,노인주의|연령금기|임산부금기,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,,
142903ATB,diazepam,노인주의|연령금기|임산부금기,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,,
551601ATB,diethylpropion hydrochloride,병용금기|연령금기|임산부금기,,,,
167903ATB,haloperidol,노인주의|병용금기|임산부금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,,
167904ATB,haloperidol,노인주의|병용금기|임산부금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,,
167905ATB,haloperidol,노인주의|병용금기|임산부금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,,
167906ATB,haloperidol,노인주의|병용금기|임산부금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,,
167908ATB,haloperidol,노인주의|병용금기|임산부금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,,
185801ATB,lovastatin,병용금기|연령금기|임산부금기,,,,
551401ATB,mazindol,병용금기|연령금기|임산부금기,,,,
189701ACH,meloxicam,병용금기|연령금기|임산부금기,,,,
189701ATB,meloxicam,병용금기|연령금기|임산부금기,,,,
189701ATD,meloxicam,병용금기|연령금기|임산부금기,,,,
189702ACH,meloxicam,병용금기|연령금기|임산부금기,,,,
190502ATB,mequitazine,노인주의|병용금기|연령금기,"항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉬우므로 노인에서의 사용을 추천하지 않음. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음",,,
190532ASY,mequitazine,노인주의|병용금기|연령금기,"항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉬우므로 노인에서의 사용을 추천하지 않음. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음",,,
699201ATD,mirodenafil,병용금기|연령금기|임산부금기,,,,
699202ATD,mirodenafil,병용금기|연령금기|임산부금기,,,,
203401ATB,nortryptiline hydrochloride (as nortryptiline),노인주의|병용금기|연령금기,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉬우므로 사용을 추천하지 않으며, 반드시 필요한 경우에만 저용량으로 시작함. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 증가하므로 동시 사용을 추천하지 않음",,,
203402ATB,nortryptiline hydrochloride (as nortryptiline),노인주의|병용금기|연령금기,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉬우므로 사용을 추천하지 않으며, 반드시 필요한 경우에만 저용량으로 시작함. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 증가하므로 동시 사용을 추천하지 않음",,,
211403BIJ,perphenazine hydrochloride,노인주의|병용금기|연령금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,,
552601ATB,phendimetrazine tartrate,병용금기|연령금기|임산부금기,,,,
552602ATB,phendimetrazine tartrate,병용금기|연령금기|임산부금기,,,,
552702ACR,phentermine HCl,병용금기|연령금기|임산부금기,,,,
552701ATB,phentermine hydrochloride (as phentermine),병용금기|연령금기|임산부금기,,,,
552704ATB,phentermine hydrochloride (as phentermine),병용금기|연령금기|임산부금기,,,,
212401ATB,pimozide,노인주의|병용금기|임산부금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,,
212402ATB,pimozide,노인주의|병용금기|임산부금기,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,,
214001ACH,piroxicam,병용금기|연령금기|임산부금기,,,,
214001ATB,piroxicam,병용금기|연령금기|임산부금기,,,,
214004ACH,piroxicam,병용금기|연령금기|임산부금기,,,,
214004ATB,piroxicam,병용금기|연령금기|임산부금기,,,,
379501ATB,repaglinide,병용금기|연령금기|임산부금기,,,,
379502ATB,repaglinide,병용금기|연령금기|임산부금기,,,,
379503ATB,repaglinide,병용금기|연령금기|임산부금기,,,,
224201ATB,risperidone,노인주의|병용금기|임산부금기,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,,
224201ATD,risperidone,노인주의|병용금기|임산부금기,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,,
224202ATB,risperidone,노인주의|병용금기|임산부금기,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,,
224202ATD,risperidone,노인주의|병용금기|임산부금기,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,,
224203ATB,risperidone,노인주의|병용금기|임산부금기,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,,
224204ATB,risperidone,노인주의|병용금기|임산부금기,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,,
618301APD,sildenafil,병용금기|연령금기|임산부금기,,,,
618301ATB,sildenafil,병용금기|연령금기|임산부금기,,,,
618301ATD,sildenafil,병용금기|연령금기|임산부금기,,,,
618302APD,sildenafil,병용금기|연령금기|임산부금기,,,,
618302ATB,sildenafil,병용금기|연령금기|임산부금기,,,,
618302ATD,sildenafil,병용금기|연령금기|임산부금기,,,,
618303ATB,sildenafil,병용금기|연령금기|임산부금기,,,,
560701APD,tadalafil,병용금기|연령금기|임산부금기,,,,
560701ATB,tadalafil,병용금기|연령금기|임산부금기,,,,
560701ATD,tadalafil,병용금기|연령금기|임산부금기,,,,
560702APD,tadalafil,병용금기|연령금기|임산부금기,,,,
560702ATB,tadalafil,병용금기|연령금기|임산부금기,,,,
560702ATD,tadalafil,병용금기|연령금기|임산부금기,,,,
560703APD,tadalafil,병용금기|연령금기|임산부금기,,,,
560703ATB,tadalafil,병용금기|연령금기|임산부금기,,,,
560703ATD,tadalafil,병용금기|연령금기|임산부금기,,,,
241801ACR,topiramate,병용금기|연령금기|임산부금기,,,,
241801ATB,topiramate,병용금기|연령금기|임산부금기,,,,
241802ACR,topiramate,병용금기|연령금기|임산부금기,,,,
241803ACH,topiramate,병용금기|연령금기|임산부금기,,,,
241803ACR,topiramate,병용금기|연령금기|임산부금기,,,,
241803ATB,topiramate,병용금기|연령금기|임산부금기,,,,
241804ACH,topiramate,병용금기|연령금기|임산부금기,,,,
241804ACR,topiramate,병용금기|연령금기|임산부금기,,,,
241804ATB,topiramate,병용금기|연령금기|임산부금기,,,,
243501ATB,triazolam,병용금기|연령금기|임산부금기,,,,
243502ATB,triazolam,병용금기|연령금기|임산부금기,,,,
553401ATB,udenafil,병용금기|연령금기|임산부금기,,,,
553402ATB,udenafil,병용금기|연령금기|임산부금기,,,,
553403ATB,udenafil,병용금기|연령금기|임산부금기,,,,
428201BIJ,6β-iodomethyl-19-norcholest-5(10)-en-3β-ol(I-131),연령금기|임산부금기,,,,
532700ASY,"DL-methylephedrine hydrochloride, chlorpheniramine maleate, dihydrocodeine tartrate, guaifenesin",연령금기|임산부금기,,,,
505801ATB,Imidafenacin,노인주의|임산부금기,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,,
519201ATE,S-pantoprazole sodium trihydrate (as S-pantoprazole),병용금기|임산부금기,,,,
519202ATE,S-pantoprazole sodium trihydrate (as S-pantoprazole),병용금기|임산부금기,,,,
553404ATB,Udenafil,병용금기|연령금기,,,,
100501ATE,acamprosate,연령금기|임산부금기,,,,
100601ATB,acarbose,연령금기|임산부금기,,,,
100602ATB,acarbose,연령금기|임산부금기,,,,
100901ACH,aceclofenac,병용금기|임산부금기,,,,
100901ACS,aceclofenac,병용금기|임산부금기,,,,
100901ATB,aceclofenac,병용금기|임산부금기,,,,
100903ATR,aceclofenac,병용금기|임산부금기,,,,
101501ATB,acetazolamide,병용금기|임산부금기,,,,
102301ACH,acitretin,병용금기|임산부금기,,,,
104803ATR,alfuzosin hydrochloride,병용금기|임산부금기,,,,
105501ATB,alprazolam,병용금기|임산부금기,,,,
105501ATR,alprazolam,병용금기|임산부금기,,,,
105502ATB,alprazolam,병용금기|임산부금기,,,,
105504ATB,alprazolam,병용금기|임산부금기,,,,
105505ATB,alprazolam,병용금기|임산부금기,,,,
105507ATB,alprazolam,병용금기|임산부금기,,,,
107501ATB,amitriptyline hydrochloride,노인주의|병용금기,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉬우므로 사용을 추천하지 않으며, 반드시 필요한 경우에만 저용량으로 시작함. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 증가하므로 동시 사용을 추천하지 않음",,,
107502ATB,amitriptyline hydrochloride,노인주의|병용금기,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉬우므로 사용을 추천하지 않으며, 반드시 필요한 경우에만 저용량으로 시작함. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 증가하므로 동시 사용을 추천하지 않음",,,
107504ATB,amitriptyline hydrochloride,노인주의|병용금기,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉬우므로 사용을 추천하지 않으며, 반드시 필요한 경우에만 저용량으로 시작함. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 증가하므로 동시 사용을 추천하지 않음",,,
532500ASY,"ammonium chloride, chlorpheniramine maleate, dihydrocodeine tartrate, DL-methylephedrine hydrochloride",연령금기|임산부금기,,,,
532600ASY,"ammonium chloride, chlorpheniramine maleate, dihydrocodeine tartrate, DL-methylephedrine hydrochloride",연령금기|임산부금기,,,,
348101ACH,anagrelide hydrochloride (as anagrelide),병용금기|임산부금기,,,,
348102ACH,anagrelide hydrochloride (as anagrelide),병용금기|임산부금기,,,,
109001ATB,anastrozole,병용금기|임산부금기,,,,
451501ATB,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
451501ATD,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
451502ATB,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
451502ATD,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
451503ATB,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
451504ATB,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
451505ATB,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
451506BIJ,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
451507BIJ,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
451508ATB,aripiprazole,노인주의|임산부금기,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,,
662301ATB,armodafinil,연령금기|임산부금기,,,,
662302ATB,armodafinil,연령금기|임산부금기,,,,
588431BIJ,arsenic trioxide,병용금기|임산부금기,,,,
110701ATE,aspirin,병용금기|임산부금기,,아스피린,혈전예방,1일 1회 100mg
110702ATB,aspirin,병용금기|임산부금기,,아스피린,혈전예방,1일 1회 100mg
458503ACH,atazanavir sulfate (as atazanavir),병용금기|연령금기,,,,
489601ACH,atomoxetine hydrochloride (as atomoxetine),병용금기|연령금기,,,,
489602ACH,atomoxetine hydrochloride (as atomoxetine),병용금기|연령금기,,,,
489603ACH,atomoxetine hydrochloride (as atomoxetine),병용금기|연령금기,,,,
489604ACH,atomoxetine hydrochloride (as atomoxetine),병용금기|연령금기,,,,
489605ACH,atomoxetine hydrochloride (as atomoxetine),병용금기|연령금기,,,,
489606ACH,atomoxetine hydrochloride (as atomoxetine),병용금기|연령금기,,,,
112403ATB,azathioprine,병용금기|임산부금기,,,,
428901ATB,balofloxacin,연령금기|임산부금기,,,,
118432COS,brimonidine tartrate,병용금기|연령금기,,,,
118434COS,brimonidine tartrate,병용금기|연령금기,,,,
118435COS,brimonidine tartrate,병용금기|연령금기,,,,
120203CPC,buprenorphine,병용금기|임산부금기,,,,
120204CPC,buprenorphine,병용금기|임산부금기,,,,
120205CPC,buprenorphine,병용금기|임산부금기,,,,
120231CPC,buprenorphine,병용금기|임산부금기,,,,
120232CPC,buprenorphine,병용금기|임산부금기,,,,
120233CPC,buprenorphine,병용금기|임산부금기,,,,
120234CPC,buprenorphine,병용금기|임산부금기,,,,
120235CPC,buprenorphine,병용금기|임산부금기,,,,
120236CPC,buprenorphine,병용금기|임산부금기,,,,
267400ATB,"caffeine anhydrous, chlorpheniramine maleate, dihydrocodeine tartrate, DL-methylephedrine hydrochloride",연령금기|임산부금기,,,,
121601ACS,calcitriol,병용금기|임산부금기,,,,
122701ATB,capecitabine,병용금기|임산부금기,,,,
122702ATB,capecitabine,병용금기|임산부금기,,,,
123102ATB,carbamazepine,병용금기|임산부금기,,,,
123102ATR,carbamazepine,병용금기|임산부금기,,,,
123104ATR,carbamazepine,병용금기|임산부금기,,,,
347701ACH,celecoxib,병용금기|임산부금기,,,,
347701ATB,celecoxib,병용금기|임산부금기,,,,
347702ACH,celecoxib,병용금기|임산부금기,,,,
347702ATB,celecoxib,병용금기|임산부금기,,,,
268000ATB,"chlorpheniramine maleate, dihydrocodeine tartrate, guaifenesin, DL-methylephedrine hydrochloride",연령금기|임산부금기,,,,
451302ATB,chlorthalidone,병용금기|임산부금기,,,,
134133BIJ,ciprofloxacin,병용금기|연령금기,,,,
134134BIJ,ciprofloxacin,병용금기|연령금기,,,,
134135BIJ,ciprofloxacin,병용금기|연령금기,,,,
